MonthID,ZoneID,HourID,Temperature,temperatureCV,relHumidity,heatIndex,specificHumidity,relativeHumidityCV,FIP
7,360010,9,76,,67,,,,36001
7,360010,10,79,,59,,,,36001
7,360010,11,80,,58,,,,36001
7,360010,12,81,,56,,,,36001
7,360010,13,81,,58,,,,36001
7,360010,14,83,,54,,,,36001
7,360010,15,83,,54,,,,36001
7,360010,16,83,,54,,,,36001
7,360010,17,83,,52,,,,36001
7,360010,18,82,,53,,,,36001
7,360010,19,79,,59,,,,36001
7,360010,20,78,,62,,,,36001
7,360010,21,74,,72,,,,36001
7,360010,22,73,,73,,,,36001
7,360010,23,73,,72,,,,36001
7,360010,24,71,,75,,,,36001
8,360010,1,66,,81,,,,36001
8,360010,2,65,,82,,,,36001
8,360010,3,65,,84,,,,36001
8,360010,4,64,,84,,,,36001
8,360010,5,64,,84,,,,36001
8,360010,6,64,,85,,,,36001
8,360010,7,67,,81,,,,36001
8,360010,8,68,,77,,,,36001
8,360010,9,72,,70,,,,36001
8,360010,10,75,,64,,,,36001
8,360010,11,76,,61,,,,36001
8,360010,12,79,,56,,,,36001
8,360010,13,79,,57,,,,36001
8,360010,14,79,,54,,,,36001
8,360010,15,80,,51,,,,36001
8,360010,16,79,,54,,,,36001
8,360010,17,78,,55,,,,36001
8,360010,18,75,,65,,,,36001
8,360010,19,73,,67,,,,36001
8,360010,20,72,,67,,,,36001
8,360010,21,69,,73,,,,36001
8,360010,22,68,,74,,,,36001
8,360010,23,68,,76,,,,36001
8,360010,24,66,,79,,,,36001
9,360010,1,58,,82,,,,36001
9,360010,2,58,,81,,,,36001
9,360010,3,56,,82,,,,36001
9,360010,4,55,,83,,,,36001
9,360010,5,55,,83,,,,36001
9,360010,6,54,,85,,,,36001
9,360010,7,57,,81,,,,36001
9,360010,8,59,,78,,,,36001
9,360010,9,64,,69,,,,36001
9,360010,10,67,,63,,,,36001
9,360010,11,68,,62,,,,36001
9,360010,12,71,,60,,,,36001
9,360010,13,72,,57,,,,36001
9,360010,14,72,,56,,,,36001
9,360010,15,73,,54,,,,36001
9,360010,16,73,,55,,,,36001
9,360010,17,72,,53,,,,36001
9,360010,18,69,,60,,,,36001
9,360010,19,66,,66,,,,36001
9,360010,20,65,,68,,,,36001
9,360010,21,63,,74,,,,36001
9,360010,22,62,,75,,,,36001
9,360010,23,62,,76,,,,36001
9,360010,24,60,,79,,,,36001
10,360010,1,51,,82,,,,36001
10,360010,2,51,,81,,,,36001
10,360010,3,49,,82,,,,36001
10,360010,4,49,,84,,,,36001
10,360010,5,49,,83,,,,36001
10,360010,6,49,,84,,,,36001
10,360010,7,50,,82,,,,36001
10,360010,8,51,,81,,,,36001
10,360010,9,53,,76,,,,36001
10,360010,10,56,,70,,,,36001
10,360010,11,57,,67,,,,36001
10,360010,12,59,,66,,,,36001
10,360010,13,60,,65,,,,36001
10,360010,14,60,,61,,,,36001
10,360010,15,60,,62,,,,36001
10,360010,16,60,,66,,,,36001
10,360010,17,60,,63,,,,36001
10,360010,18,56,,69,,,,36001
10,360010,19,55,,73,,,,36001
10,360010,20,54,,74,,,,36001
10,360010,21,53,,77,,,,36001
10,360010,22,52,,79,,,,36001
10,360010,23,52,,79,,,,36001
10,360010,24,53,,82,,,,36001
11,360010,1,38,,68,,,,36001
11,360010,2,35,,68,,,,36001
11,360010,3,34,,70,,,,36001
11,360010,4,34,,70,,,,36001
11,360010,5,33,,71,,,,36001
11,360010,6,33,,72,,,,36001
11,360010,7,34,,74,,,,36001
11,360010,8,34,,71,,,,36001
11,360010,9,35,,66,,,,36001
11,360010,10,37,,64,,,,36001
11,360010,11,38,,62,,,,36001
11,360010,12,40,,60,,,,36001
11,360010,13,40,,60,,,,36001
11,360010,14,41,,56,,,,36001
11,360010,15,41,,58,,,,36001
11,360010,16,41,,57,,,,36001
11,360010,17,40,,58,,,,36001
11,360010,18,38,,64,,,,36001
11,360010,19,37,,65,,,,36001
11,360010,20,37,,63,,,,36001
11,360010,21,36,,68,,,,36001
11,360010,22,36,,67,,,,36001
11,360010,23,35,,65,,,,36001
11,360010,24,35,,67,,,,36001
12,360010,1,29,,71,,,,36001
12,360010,2,29,,73,,,,36001
12,360010,3,29,,74,,,,36001
12,360010,4,29,,74,,,,36001
12,360010,5,28,,73,,,,36001
12,360010,6,28,,76,,,,36001
12,360010,7,28,,77,,,,36001
12,360010,8,28,,76,,,,36001
12,360010,9,30,,76,,,,36001
12,360010,10,32,,73,,,,36001
12,360010,11,32,,69,,,,36001
12,360010,12,34,,70,,,,36001
12,360010,13,35,,68,,,,36001
12,360010,14,35,,66,,,,36001
12,360010,15,34,,69,,,,36001
12,360010,16,35,,67,,,,36001
12,360010,17,34,,67,,,,36001
12,360010,18,32,,71,,,,36001
12,360010,19,31,,72,,,,36001
12,360010,20,32,,71,,,,36001
12,360010,21,31,,72,,,,36001
12,360010,22,31,,71,,,,36001
12,360010,23,30,,71,,,,36001
12,360010,24,30,,75,,,,36001
1,360030,1,22,,88,,,,36003
1,360030,2,20,,88,,,,36003
1,360030,3,19,,87,,,,36003
1,360030,4,19,,87,,,,36003
1,360030,5,20,,87,,,,36003
1,360030,6,18,,89,,,,36003
1,360030,7,19,,91,,,,36003
1,360030,8,18,,91,,,,36003
1,360030,9,20,,90,,,,36003
1,360030,10,19,,87,,,,36003
1,360030,11,21,,84,,,,36003
1,360030,12,20,,78,,,,36003
1,360030,13,21,,78,,,,36003
1,360030,14,23,,80,,,,36003
1,360030,15,20,,76,,,,36003
1,360030,16,19,,77,,,,36003
1,360030,17,20,,76,,,,36003
1,360030,18,21,,78,,,,36003
1,360030,19,21,,79,,,,36003
1,360030,20,21,,83,,,,36003
1,360030,21,20,,81,,,,36003
1,360030,22,20,,82,,,,36003
1,360030,23,18,,83,,,,36003
1,360030,24,19,,86,,,,36003
2,360030,1,24,,88,,,,36003
2,360030,2,24,,88,,,,36003
2,360030,3,24,,89,,,,36003
2,360030,4,25,,90,,,,36003
2,360030,5,23,,90,,,,36003
2,360030,6,23,,92,,,,36003
2,360030,7,22,,90,,,,36003
2,360030,8,20,,91,,,,36003
2,360030,9,23,,88,,,,36003
2,360030,10,24,,86,,,,36003
2,360030,11,26,,84,,,,36003
2,360030,12,28,,81,,,,36003
2,360030,13,26,,76,,,,36003
2,360030,14,27,,76,,,,36003
2,360030,15,30,,74,,,,36003
