X,Y,OBJECTID,COLL_METH,STRUCTURE,CB_TYPE,MH_COVER,DIMENSION,DEPTH,ELEVATION,LOCATION,BASIN,STRUC_ID,MUNI,PROJECT_ID,MAP_ID,COMMENTS,ST_NAME,HOUSE_NUM,LOCAL_ID,LAT,LONG_,ASSET_ID,INV_ELEV,OF_SHAPE,OF_MATERIAL,OF_TYPE,OWNER,GENERIC_OWN,DATA_SOURCE,OFFICE_TRACK,SHAPE,WC_DRAINAGE_BASIN,LAND_USE_TYPE,FEATURE_TYPE,SOURCE,HOUS_NUM,GLOBALID,ACCESSIBLE,TYPE_,MATERIAL,SHAPE_,QUANTITY,SUBMERGED,FLOW_PRESE,FLOW_DESC,DAMAGE,DEPOSITS,ABNORMAL_V,POOR_POOL_,BENTHIC_GR,INSPECTION,POLE,OFFSET_,HD,VD,SD,INC,AZ,CREATOR,EDITOR,HEIGHT,WIDTH,CONV_DIR,UNIQUE_ID_ALL_POINT_FEATURES,RESPONSIBILITY
702245.375211008,778336.546896771,1428,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,Water Supply Lands,Outfall,,,e3faa61b-152d-491f-96f2-f14a1cdcbc40,Y,CP,CMP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1428,DPW
702127.17072301,778288.575536028,1429,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,Water Supply Lands,Outfall,,,2acd4e7e-012f-450b-a5e3-971b690052f1,Y,CP,CMP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1429,DPW
701700.784436677,778510.242415525,1430,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,e711f38b-2e55-4aaf-814b-e86c260ed5a2,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1430,DPW
701669.014159009,778584.291480027,1431,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,d77954a9-1a44-43a9-9e8b-dd22f0bff0d7,Y,CP,RCP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,OUT,1431,DPW
698200.349508427,787801.469239861,1432,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,9d3ab0dd-bdbc-4882-99bd-63702d1e45e8,Y,CP,RCP,TRP,1,NO,Y,TRI,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,36,72,IN,1432,DPW
698011.758350175,787653.795322604,1433,Stellar Services Field Survey,,,,18,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Transportation, Communication, Utilities",Outfall,,,446ec144-14c3-4be1-b802-0ed72b1427da,Y,CP,CMP,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,IN,1433,DPW
697768.401225343,786810.395106524,1434,Stellar Services Field Survey,,,,24,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,d3d3b2b8-2fd4-4ecf-9fa6-b122c20fa95b,Y,CP,RCP,CIRC,1,NO,Y,TRI,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,IN,1434,DPW
697585.591879677,786881.987154938,1435,Stellar Services Field Survey,,,,10,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,90ec8ebf-c786-4daa-bbf1-b24fd224651c,Y,CP,CAS,CIRC,1,NO,N,NO,CORR,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,IN,1435,DPW
694603.663460344,779598.722850107,1436,Stellar Services Field Survey,,,,0,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,"Public Parks, Parkway Lands",Outfall,,,43d01c49-ef50-457b-a09f-0f78c7b91395,VEG,CP, ,CIRC,1,NO,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,IN,1436,DPW
695136.799533177,780484.773899525,1437,Stellar Services Field Survey,,,,15,0,0,,,,,,, ,,,,0,0,,0,,,,,,,,,COASTAL LONG ISLAND SOUND BASIN,Private Recreation,Outfall,,,1e702de0-ae5b-4a10-9ea0-1ff7024aa691,Y,CP,RCP,CIRC,1,WP,N,NO,NO,NO,NO,NO,NO,2019/10/07 00:00:00+00,0,N,0,0,0,0,0, , ,0,0,ON,1437,DPW
