fuelFormulationID,fuelSubtypeID,RVP,sulfurLevel,ETOHVolume,MTBEVolume,ETBEVolume,TAMEVolume,aromaticContent,olefinContent,benzeneContent,e200,e300,volToWtPercentOxy,BioDieselEsterVolume,CetaneIndex,PAHContent,T50,T90,FIP
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36007
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36007
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36007
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36007
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36007
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36007
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36007
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36007
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36009
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36009
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36009
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36009
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36009
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36009
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36009
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36009
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36009
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36009
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36009
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36009
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36009
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36009
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36009
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36009
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36009
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36009
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36009
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36009
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36009
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36009
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36011
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36011
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36011
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36011
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36011
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36011
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36011
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36011
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36011
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36011
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36011
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36011
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36011
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36011
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36011
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36011
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36011
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36011
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36011
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36011
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36011
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36011
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36013
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36013
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36013
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36013
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36013
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36013
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36013
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36013
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36013
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36013
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36013
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36013
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36013
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36013
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36013
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36013
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36013
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36013
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36013
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36013
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36013
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36013
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36015
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36015
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36015
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36015
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36015
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36015
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36015
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36015
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36015
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36015
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36015
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36015
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36015
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36015
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36015
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36015
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36015
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36015
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36015
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36015
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36015
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36015
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36017
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36017
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36017
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36017
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36017
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36017
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36017
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36017
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36017
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36017
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36017
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36017
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36017
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36017
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36017
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36017
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36017
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36017
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36017
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36017
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36017
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36017
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36019
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36019
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36019
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36019
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36019
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36019
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36019
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36019
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36019
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36019
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36019
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36019
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36019
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36019
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36019
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36019
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36019
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36019
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36019
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36019
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36019
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36019
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36021
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36021
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36021
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36021
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36021
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36021
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36021
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36021
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36021
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36021
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36021
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36021
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36021
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36021
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36021
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36021
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36021
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36021
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36021
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36021
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36021
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36021
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36023
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36023
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36023
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36023
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36023
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36023
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36023
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36023
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36023
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36023
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36023
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36023
