sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
61,4,0.6206,36007
61,5,0.0418,36007
62,1,0,36007
62,2,0.3029,36007
62,3,0.0347,36007
62,4,0.6206,36007
62,5,0.0418,36007
11,1,0,36009
11,2,0.0554,36009
11,3,0.7495,36009
11,4,0.0145,36009
11,5,0.1806,36009
21,1,0,36009
21,2,0.1337,36009
21,3,0.5593,36009
21,4,0.0746,36009
21,5,0.2324,36009
31,1,0,36009
31,2,0.1337,36009
31,3,0.5593,36009
31,4,0.0746,36009
31,5,0.2324,36009
32,1,0,36009
32,2,0.1337,36009
32,3,0.5594,36009
32,4,0.0745,36009
32,5,0.2324,36009
41,1,0,36009
41,2,0.0944,36009
41,3,0.6688,36009
41,4,0.0523,36009
41,5,0.1845,36009
42,1,0,36009
42,2,0.0944,36009
42,3,0.6688,36009
42,4,0.0523,36009
42,5,0.1845,36009
43,1,0,36009
43,2,0.0944,36009
43,3,0.6688,36009
43,4,0.0523,36009
43,5,0.1845,36009
51,1,0,36009
51,2,0.1379,36009
51,3,0.6864,36009
51,4,0.0426,36009
51,5,0.1331,36009
52,1,0,36009
52,2,0.1379,36009
52,3,0.6864,36009
52,4,0.0426,36009
52,5,0.1331,36009
53,1,0,36009
53,2,0.1379,36009
53,3,0.6864,36009
53,4,0.0426,36009
53,5,0.1331,36009
53,1,0,36009
54,2,0.1379,36009
54,3,0.6864,36009
54,4,0.0426,36009
54,5,0.1331,36009
61,1,0,36009
61,2,0.525,36009
61,3,0.3589,36009
61,4,0.0783,36009
61,5,0.0378,36009
62,1,0,36009
62,2,0.525,36009
62,3,0.3589,36009
62,4,0.0783,36009
62,5,0.0378,36009
11,1,0,36011
11,2,0.16,36011
11,3,0.6294,36011
11,4,0.0017,36011
11,5,0.2089,36011
21,1,0,36011
21,2,0.2103,36011
21,3,0.5434,36011
21,4,0.0025,36011
21,5,0.2438,36011
31,1,0,36011
31,2,0.2103,36011
31,3,0.5434,36011
31,4,0.0025,36011
31,5,0.2438,36011
32,1,0,36011
32,2,0.2103,36011
32,3,0.5434,36011
32,4,0.0025,36011
32,5,0.2438,36011
41,1,0,36011
41,2,0.1136,36011
41,3,0.6241,36011
41,4,0.0013,36011
41,5,0.261,36011
42,1,0,36011
42,2,0.1136,36011
42,3,0.6241,36011
42,4,0.0013,36011
42,5,0.261,36011
43,1,0,36011
43,2,0.1136,36011
43,3,0.6241,36011
43,4,0.0013,36011
43,5,0.261,36011
51,1,0,36011
51,2,0.2008,36011
51,3,0.6352,36011
51,4,0.0017,36011
51,5,0.1623,36011
52,1,0,36011
52,2,0.2008,36011
52,3,0.6352,36011
52,4,0.0017,36011
52,5,0.1623,36011
53,1,0,36011
53,2,0.2008,36011
53,3,0.6352,36011
53,4,0.0017,36011
53,5,0.1623,36011
53,1,0,36011
54,2,0.2008,36011
54,3,0.6352,36011
54,4,0.0017,36011
54,5,0.1623,36011
61,1,0,36011
61,2,0.67,36011
61,3,0.2935,36011
61,4,0.0023,36011
61,5,0.0342,36011
62,1,0,36011
62,2,0.67,36011
62,3,0.2935,36011
62,4,0.0023,36011
62,5,0.0342,36011
11,1,0,36013
11,2,0.1043,36013
11,3,0.5663,36013
11,4,0.0251,36013
11,5,0.3043,36013
21,1,0,36013
21,2,0.2105,36013
21,3,0.3536,36013
21,4,0.1083,36013
21,5,0.3276,36013
31,1,0,36013
31,2,0.2105,36013
31,3,0.3536,36013
31,4,0.1083,36013
31,5,0.3276,36013
32,1,0,36013
32,2,0.2105,36013
32,3,0.3536,36013
32,4,0.1083,36013
32,5,0.3276,36013
41,1,0,36013
41,2,0.1637,36013
41,3,0.4659,36013
41,4,0.0838,36013
41,5,0.2866,36013
42,1,0,36013
42,2,0.1637,36013
42,3,0.4659,36013
42,4,0.0838,36013
42,5,0.2866,36013
43,1,0,36013
43,2,0.1637,36013
43,3,0.4659,36013
43,4,0.0838,36013
43,5,0.2866,36013
51,1,0,36013
51,2,0.241,36013
51,3,0.4819,36013
51,4,0.0687,36013
51,5,0.2084,36013
52,1,0,36013
52,2,0.241,36013
52,3,0.4819,36013
52,4,0.0687,36013
52,5,0.2084,36013
53,1,0,36013
53,2,0.241,36013
53,3,0.4819,36013
53,4,0.0687,36013
53,5,0.2084,36013
53,1,0,36013
54,2,0.241,36013
54,3,0.4819,36013
54,4,0.0687,36013
54,5,0.2084,36013
61,1,0,36013
61,2,0.6772,36013
61,3,0.1859,36013
61,4,0.0932,36013
61,5,0.0437,36013
62,1,0,36013
62,2,0.6772,36013
62,3,0.1859,36013
62,4,0.0932,36013
62,5,0.0437,36013
11,1,0,36015
11,2,0.0276,36015
11,3,0.2652,36015
11,4,0.0823,36015
11,5,0.6249,36015
21,1,0,36015
21,2,0.1198,36015
21,3,0.161,36015
21,4,0.201,36015
21,5,0.5182,36015
31,1,0,36015
31,2,0.1198,36015
31,3,0.161,36015
31,4,0.201,36015
31,5,0.5182,36015
32,1,0,36015
32,2,0.1198,36015
32,3,0.161,36015
32,4,0.201,36015
32,5,0.5182,36015
41,1,0,36015
41,2,0.1416,36015
41,3,0.2021,36015
41,4,0.2047,36015
41,5,0.4516,36015
42,1,0,36015
42,2,0.1416,36015
42,3,0.2021,36015
42,4,0.2047,36015
42,5,0.4516,36015
