sourceTypeID,monthID,monthVMTFraction,FIP
41,10,0.088174138,36003
41,11,0.078806021,36003
41,12,0.073299577,36003
42,1,0.063703626,36003
42,2,0.065063271,36003
42,3,0.074354703,36003
42,4,0.079487771,36003
42,5,0.087825992,36003
42,6,0.095615332,36003
42,7,0.100374148,36003
42,8,0.10013364,36003
42,9,0.093161781,36003
42,10,0.088174138,36003
42,11,0.078806021,36003
42,12,0.073299577,36003
43,1,0.063703626,36003
43,2,0.065063271,36003
43,3,0.074354703,36003
43,4,0.079487771,36003
43,5,0.087825992,36003
43,6,0.095615332,36003
43,7,0.100374148,36003
43,8,0.10013364,36003
43,9,0.093161781,36003
43,10,0.088174138,36003
43,11,0.078806021,36003
43,12,0.073299577,36003
51,1,0.063659209,36003
51,2,0.065025402,36003
51,3,0.074313135,36003
51,4,0.079459873,36003
51,5,0.0878265,36003
51,6,0.095649682,36003
51,7,0.100454823,36003
51,8,0.100213224,36003
51,9,0.093190657,36003
51,10,0.088173017,36003
51,11,0.078779748,36003
51,12,0.07325473,36003
52,1,0.063659209,36003
52,2,0.065025402,36003
52,3,0.074313135,36003
52,4,0.079459873,36003
52,5,0.0878265,36003
52,6,0.095649682,36003
52,7,0.100454823,36003
52,8,0.100213224,36003
52,9,0.093190657,36003
52,10,0.088173017,36003
52,11,0.078779748,36003
52,12,0.07325473,36003
53,1,0.063659209,36003
53,2,0.065025402,36003
53,3,0.074313135,36003
53,4,0.079459873,36003
53,5,0.0878265,36003
53,6,0.095649682,36003
53,7,0.100454823,36003
53,8,0.100213224,36003
53,9,0.093190657,36003
53,10,0.088173017,36003
53,11,0.078779748,36003
53,12,0.07325473,36003
54,1,0.063659209,36003
54,2,0.065025402,36003
54,3,0.074313135,36003
54,4,0.079459873,36003
54,5,0.0878265,36003
54,6,0.095649682,36003
54,7,0.100454823,36003
54,8,0.100213224,36003
54,9,0.093190657,36003
54,10,0.088173017,36003
54,11,0.078779748,36003
54,12,0.07325473,36003
61,1,0.063413791,36003
61,2,0.064816165,36003
61,3,0.07408346,36003
61,4,0.079305728,36003
61,5,0.087829303,36003
61,6,0.095839474,36003
61,7,0.100900578,36003
61,8,0.100652948,36003
61,9,0.093350211,36003
61,10,0.088166821,36003
61,11,0.078634581,36003
61,12,0.073006939,36003
62,1,0.063413791,36003
62,2,0.064816165,36003
62,3,0.07408346,36003
62,4,0.079305728,36003
62,5,0.087829303,36003
62,6,0.095839474,36003
62,7,0.100900578,36003
62,8,0.100652948,36003
62,9,0.093350211,36003
62,10,0.088166821,36003
62,11,0.078634581,36003
62,12,0.073006939,36003
11,1,0.070102406,36005
11,2,0.070518691,36005
11,3,0.080343019,36005
11,4,0.083506785,36005
11,5,0.087752893,36005
11,6,0.090666889,36005
11,7,0.088751977,36005
11,8,0.08866872,36005
