MonthID,ZoneID,HourID,Temperature,relHumidity,FIP
1,360010,1,22,73,36001
1,360010,2,20,71,36001
1,360010,3,20,73,36001
1,360010,4,22,76,36001
1,360010,5,19,73,36001
1,360010,6,20,74,36001
1,360010,7,22,76,36001
1,360010,8,19,73,36001
1,360010,9,21,74,36001
1,360010,10,23,73,36001
1,360010,11,22,68,36001
1,360010,12,26,65,36001
1,360010,13,26,63,36001
1,360010,14,26,61,36001
1,360010,15,27,60,36001
1,360010,16,26,58,36001
1,360010,17,26,61,36001
1,360010,18,24,68,36001
1,360010,19,23,68,36001
1,360010,20,22,67,36001
1,360010,21,22,69,36001
1,360010,22,21,69,36001
1,360010,23,19,70,36001
1,360010,24,20,71,36001
2,360010,1,27,73,36001
2,360010,2,26,72,36001
2,360010,3,26,74,36001
2,360010,4,24,77,36001
2,360010,5,24,76,36001
2,360010,6,25,78,36001
2,360010,7,23,76,36001
2,360010,8,24,75,36001
2,360010,9,26,71,36001
2,360010,10,25,70,36001
2,360010,11,28,67,36001
2,360010,12,29,65,36001
2,360010,13,32,62,36001
2,360010,14,32,62,36001
2,360010,15,32,60,36001
2,360010,16,33,60,36001
2,360010,17,34,61,36001
2,360010,18,32,69,36001
2,360010,19,28,65,36001
2,360010,20,29,65,36001
2,360010,21,28,66,36001
2,360010,22,27,68,36001
2,360010,23,30,69,36001
2,360010,24,28,72,36001
3,360010,1,33,76,36001
3,360010,2,34,75,36001
3,360010,3,32,79,36001
3,360010,4,34,79,36001
3,360010,5,32,78,36001
3,360010,6,33,81,36001
3,360010,7,31,79,36001
3,360010,8,33,76,36001
3,360010,9,36,76,36001
3,360010,10,39,69,36001
3,360010,11,39,65,36001
3,360010,12,39,63,36001
3,360010,13,41,63,36001
3,360010,14,42,59,36001
3,360010,15,43,60,36001
3,360010,16,44,57,36001
3,360010,17,44,57,36001
3,360010,18,42,60,36001
3,360010,19,43,68,36001
3,360010,20,41,63,36001
3,360010,21,40,71,36001
3,360010,22,39,74,36001
3,360010,23,37,70,36001
3,360010,24,36,76,36001
4,360010,1,43,69,36001
4,360010,2,43,69,36001
4,360010,3,42,69,36001
4,360010,4,41,73,36001
4,360010,5,41,69,36001
4,360010,6,42,73,36001
4,360010,7,44,71,36001
4,360010,8,45,66,36001
4,360010,9,47,64,36001
4,360010,10,49,56,36001
4,360010,11,51,52,36001
4,360010,12,52,54,36001
4,360010,13,52,52,36001
4,360010,14,55,46,36001
4,360010,15,55,48,36001
4,360010,16,55,48,36001
4,360010,17,54,49,36001
4,360010,18,51,59,36001
