yearID,sourcetypeID,VMT,FIP
2019,62,8215708,36035
2019,11,3112399,36037
2019,21,256769975,36037
2019,31,591544658,36037
2019,32,42548421,36037
2019,41,1962005,36037
2019,42,68699,36037
2019,43,6530931,36037
2019,51,1484478,36037
2019,52,32055185,36037
2019,53,2228090,36037
2019,54,2000327,36037
2019,61,16923196,36037
2019,62,55279854,36037
2019,11,3753627,36039
2019,21,198651031,36039
2019,31,396193192,36039
2019,32,22648790,36039
2019,41,1476501,36039
2019,42,47002,36039
2019,43,2640959,36039
2019,51,1235410,36039
2019,52,25216916,36039
2019,53,1616652,36039
2019,54,1270407,36039
2019,61,14847884,36039
2019,62,46892017,36039
2019,11,969975,36041
2019,21,21270820,36041
2019,31,68827454,36041
2019,32,6035808,36041
2019,41,390270,36041
2019,42,35302,36041
2019,43,500136,36041
2019,51,260044,36041
2019,52,4591102,36041
2019,53,310370,36041
2019,54,253208,36041
2019,61,529350,36041
2019,62,2604415,36041
2019,11,3914448,36043
2019,21,201558726,36043
2019,31,395000606,36043
2019,32,18363622,36043
2019,41,784549,36043
2019,42,64515,36043
2019,43,3732195,36043
2019,51,1092116,36043
2019,52,23963132,36043
2019,53,1610795,36043
2019,54,1327961,36043
2019,61,10799955,36043
2019,62,44788994,36043
2019,11,7429586,36045
2019,21,295852535,36045
2019,31,703695385,36045
2019,32,40980044,36045
2019,41,989048,36045
2019,42,377948,36045
2019,43,5763138,36045
2019,51,3800170,36045
2019,52,44964118,36045
2019,53,2978618,36045
2019,54,3630527,36045
2019,61,15077204,36045
2019,62,54871285,36045
2019,11,23338230,36047
2019,21,1617404621,36047
2019,31,2497856275,36047
2019,32,229753719,36047
2019,41,13913135,36047
2019,42,33871597,36047
2019,43,53971109,36047
2019,51,7496327,36047
2019,52,157636723,36047
2019,53,12060016,36047
2019,54,902265,36047
2019,61,16339037,36047
2019,62,51231710,36047
2019,11,2672382,36049
2019,21,65401198,36049
2019,31,196456948,36049
2019,32,7324428,36049
2019,41,66928,36049
2019,42,138107,36049
2019,43,2162972,36049
2019,51,741612,36049
2019,52,14048464,36049
2019,53,938466,36049
2019,54,791644,36049
2019,61,2769176,36049
2019,62,10167595,36049
2019,11,2466906,36051
2019,21,190163732,36051
2019,31,413277454,36051
