OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
64,36,119,003100,36119003100,31,Census Tract,G5020,S,288916,0,+40.9082759,-073.8347935
65,36,119,003200,36119003200,32,Census Tract,G5020,S,294518,0,+40.9087133,-073.8306416
66,36,119,003300,36119003300,33,Census Tract,G5020,S,624485,0,+40.9064456,-073.8246183
67,36,119,003400,36119003400,34,Census Tract,G5020,S,684418,0,+40.9072312,-073.8179378
68,36,119,003500,36119003500,35,Census Tract,G5020,S,355588,0,+40.9113421,-073.8484919
69,36,119,003600,36119003600,36,Census Tract,G5020,S,386750,0,+40.9140091,-073.8402628
70,36,119,003700,36119003700,37,Census Tract,G5020,S,605003,0,+40.9190719,-073.8430796
71,36,119,003800,36119003800,38,Census Tract,G5020,S,250808,0,+40.9241011,-073.8386971
72,36,119,003900,36119003900,39,Census Tract,G5020,S,486547,0,+40.9215525,-073.8339938
73,36,119,004001,36119004001,40.01,Census Tract,G5020,S,258996,0,+40.9134082,-073.8326045
74,36,119,004002,36119004002,40.02,Census Tract,G5020,S,310351,0,+40.9158547,-073.8307687
75,36,119,004100,36119004100,41,Census Tract,G5020,S,754510,17621,+40.9142187,-073.8208136
76,36,119,004200,36119004200,42,Census Tract,G5020,S,647321,0,+40.9212969,-073.8253465
77,36,119,004500,36119004500,45,Census Tract,G5020,S,292461,0,+40.9305333,-073.8356048
78,36,119,004600,36119004600,46,Census Tract,G5020,S,699597,0,+40.9412297,-073.8338081
79,36,119,004700,36119004700,47,Census Tract,G5020,S,1819053,0,+40.9388251,-073.8236062
80,36,119,004801,36119004801,48.01,Census Tract,G5020,S,833878,0,+40.9539030,-073.8254760
81,36,119,004802,36119004802,48.02,Census Tract,G5020,S,722755,0,+40.9558223,-073.8201988
82,36,119,004900,36119004900,49,Census Tract,G5020,S,229936,0,+40.9832796,-073.8120253
83,36,119,005001,36119005001,50.01,Census Tract,G5020,S,1097002,0,+40.9766738,-073.8015750
84,36,119,005002,36119005002,50.02,Census Tract,G5020,S,2981702,159377,+40.9672296,-073.8031373
85,36,119,005100,36119005100,51,Census Tract,G5020,S,982950,0,+40.9545690,-073.8126756
86,36,119,005200,36119005200,52,Census Tract,G5020,S,3257247,133790,+40.9412467,-073.8100334
87,36,119,005300,36119005300,53,Census Tract,G5020,S,1202887,5908,+40.9167438,-073.8064384
88,36,119,005400,36119005400,54,Census Tract,G5020,S,926499,0,+40.9059619,-073.8077147
89,36,119,005500,36119005500,55,Census Tract,G5020,S,3503454,113499,+40.8930678,-073.8059277
90,36,119,005600,36119005600,56,Census Tract,G5020,S,312476,190781,+40.8841800,-073.7702528
91,36,119,005702,36119005702,57.02,Census Tract,G5020,S,496852,16697,+40.8997489,-073.7795738
92,36,119,005703,36119005703,57.03,Census Tract,G5020,S,1128678,2351,+40.8957165,-073.7920230
93,36,119,005704,36119005704,57.04,Census Tract,G5020,S,721539,498795,+40.8854726,-073.7831857
94,36,119,005800,36119005800,58,Census Tract,G5020,S,580455,0,+40.9032220,-073.7855757
95,36,119,005901,36119005901,59.01,Census Tract,G5020,S,448929,0,+40.9079691,-073.7767521
96,36,119,005902,36119005902,59.02,Census Tract,G5020,S,2554464,6400656,+40.8872296,-073.7571915
97,36,119,006000,36119006000,60,Census Tract,G5020,S,917450,0,+40.9160316,-073.7762526
98,36,119,006100,36119006100,61,Census Tract,G5020,S,858949,0,+40.9047709,-073.7933126
99,36,119,006200,36119006200,62,Census Tract,G5020,S,705972,0,+40.9112626,-073.7969290
100,36,119,006301,36119006301,63.01,Census Tract,G5020,S,413160,0,+40.9135267,-073.7903531
101,36,119,006302,36119006302,63.02,Census Tract,G5020,S,314281,0,+40.9151903,-073.7852720
