yearID,sourcetypeID,VMT,FIP
2022,11,10313980,36001
2022,21,875913493,36001
2022,31,1577736956,36001
2022,32,280749122,36001
2022,41,5840090,36001
2022,42,3967758,36001
2022,43,7790967,36001
2022,51,2248998,36001
2022,52,81495446,36001
2022,53,4551230,36001
2022,54,1767192,36001
2022,61,29664780,36001
2022,62,99640878,36001
2022,11,2062882,36003
2022,21,78544396,36003
2022,31,280510336,36003
2022,32,14185567,36003
2022,41,751959,36003
2022,42,710704,36003
2022,43,2035234,36003
2022,51,937216,36003
2022,52,17616176,36003
2022,53,1046644,36003
2022,54,1185128,36003
2022,61,5380894,36003
2022,62,23145800,36003
2022,11,11689415,36005
2022,21,974982623,36005
2022,31,1830140970,36005
2022,32,121839441,36005
2022,41,18915200,36005
2022,42,35998927,36005
2022,43,3015983,36005
2022,51,7714840,36005
2022,52,95107292,36005
2022,53,8124175,36005
2022,54,755481,36005
2022,61,19763955,36005
2022,62,35501038,36005
2022,11,4948342,36007
2022,21,480936481,36007
2022,31,952764745,36007
2022,32,74659469,36007
2022,41,2287139,36007
2022,42,2272018,36007
2022,43,6764640,36007
2022,51,2245241,36007
2022,52,56545260,36007
2022,53,2951332,36007
2022,54,2661036,36007
2022,61,41457458,36007
2022,62,136340202,36007
2022,11,4091066,36009
2022,21,144810309,36009
2022,31,552274891,36009
2022,32,33890575,36009
2022,41,1306855,36009
2022,42,1721114,36009
2022,43,3641808,36009
2022,51,1505183,36009
2022,52,29334079,36009
2022,53,2057119,36009
2022,54,1942323,36009
2022,61,10389084,36009
2022,62,38242344,36009
2022,11,2485602,36011
2022,21,151777544,36011
2022,31,474610569,36011
2022,32,26013148,36011
2022,41,946943,36011
2022,42,1697346,36011
2022,43,2666294,36011
2022,51,942036,36011
2022,52,24167954,36011
2022,53,1811148,36011
2022,54,1151821,36011
2022,61,10038941,36011
2022,62,32029702,36011
2022,11,5424264,36013
2022,21,260352856,36013
2022,31,844582524,36013
2022,32,44834499,36013
2022,41,1725004,36013
2022,42,2548338,36013
2022,43,5281232,36013
2022,51,2210377,36013
2022,52,41988687,36013
2022,53,2959624,36013
2022,54,2533432,36013
2022,61,20432808,36013
2022,62,72473162,36013
2022,11,2807772,36015
2022,21,198531052,36015
2022,31,455614195,36015
2022,32,28261634,36015
2022,41,1243646,36015
2022,42,1545196,36015
2022,43,2497246,36015
2022,51,1636802,36015
2022,52,22993409,36015
