sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
11,1,0,36001
11,2,0.004243125,36001
11,3,0.181927066,36001
11,4,0.255507589,36001
11,5,0.55832222,36001
21,1,0,36001
21,2,0.011571465,36001
21,3,0.060878229,36001
21,4,0.452256209,36001
21,5,0.475294097,36001
31,1,0,36001
31,2,0.011571465,36001
31,3,0.060878229,36001
31,4,0.452256209,36001
31,5,0.475294097,36001
32,1,0,36001
32,2,0.011571465,36001
32,3,0.060878229,36001
32,4,0.452256209,36001
32,5,0.475294097,36001
41,1,0,36001
41,2,0.009944901,36001
41,3,0.074201074,36001
41,4,0.393980666,36001
41,5,0.521873358,36001
42,1,0,36001
42,2,0.009944901,36001
42,3,0.074201074,36001
42,4,0.393980666,36001
42,5,0.521873358,36001
43,1,0,36001
43,2,0.009944901,36001
43,3,0.074201074,36001
43,4,0.393980666,36001
43,5,0.521873358,36001
51,1,0,36001
51,2,0.014754266,36001
51,3,0.108255771,36001
51,4,0.408107074,36001
51,5,0.468882889,36001
52,1,0,36001
52,2,0.014754266,36001
52,3,0.108255771,36001
52,4,0.408107074,36001
52,5,0.468882889,36001
53,1,0,36001
53,2,0.014754266,36001
53,3,0.108255771,36001
53,4,0.408107074,36001
53,5,0.468882889,36001
53,1,0,36001
54,2,0.014754266,36001
54,3,0.108255771,36001
54,4,0.408107074,36001
54,5,0.468882889,36001
61,1,0,36001
61,2,0.051013647,36001
61,3,0.035282355,36001
61,4,0.804489176,36001
61,5,0.109214823,36001
62,1,0,36001
62,2,0.051013647,36001
62,3,0.035282355,36001
62,4,0.804489176,36001
62,5,0.109214823,36001
11,1,0,36003
11,2,0.029722431,36003
11,3,0.903530287,36003
11,4,0,36003
11,5,0.066747282,36003
21,1,0,36003
21,2,0.175797053,36003
21,3,0.748648808,36003
21,4,0,36003
21,5,0.07555414,36003
31,1,0,36003
31,2,0.175797053,36003
31,3,0.748648808,36003
31,4,0,36003
31,5,0.07555414,36003
32,1,0,36003
32,2,0.175797053,36003
32,3,0.748648808,36003
32,4,0,36003
32,5,0.07555414,36003
41,1,0,36003
41,2,0.171229993,36003
41,3,0.774494962,36003
41,4,0,36003
41,5,0.054275045,36003
42,1,0,36003
42,2,0.171229993,36003
42,3,0.774494962,36003
42,4,0,36003
42,5,0.054275045,36003
43,1,0,36003
43,2,0.171229993,36003
43,3,0.774494962,36003
43,4,0,36003
43,5,0.054275045,36003
51,1,0,36003
51,2,0.149179853,36003
51,3,0.802576383,36003
51,4,0,36003
51,5,0.048243765,36003
52,1,0,36003
52,2,0.149179853,36003
52,3,0.802576383,36003
52,4,0,36003
52,5,0.048243765,36003
53,1,0,36003
53,2,0.149179853,36003
53,3,0.802576383,36003
53,4,0,36003
53,5,0.048243765,36003
53,1,0,36003
54,2,0.149179853,36003
54,3,0.802576383,36003
54,4,0,36003
54,5,0.048243765,36003
61,1,0,36003
61,2,0.638664143,36003
