sourceTypeID,monthID,monthVMTFraction,FIP
11,1,0,36001
11,2,0,36001
11,3,0.101066512,36001
11,4,0.105602876,36001
11,5,0.112056889,36001
11,6,0.117007807,36001
11,7,0.116247311,36001
11,8,0.116101325,36001
11,9,0.114682855,36001
11,10,0.112741754,36001
11,11,0.104492672,36001
11,12,0,36001
21,1,0.069610156,36001
21,2,0.070099012,36001
21,3,0.079882345,36001
21,4,0.083197608,36001
21,5,0.087758517,36001
21,6,0.091047566,36001
21,7,0.089646057,36001
21,8,0.089550703,36001
21,9,0.089321775,36001
21,10,0.088323264,36001
21,11,0.082299788,36001
21,12,0.07926321,36001
31,1,0.069610156,36001
31,2,0.070099012,36001
31,3,0.079882345,36001
31,4,0.083197608,36001
31,5,0.087758517,36001
31,6,0.091047566,36001
31,7,0.089646057,36001
31,8,0.089550703,36001
31,9,0.089321775,36001
31,10,0.088323264,36001
31,11,0.082299788,36001
31,12,0.07926321,36001
32,1,0.069610156,36001
32,2,0.070099012,36001
32,3,0.079882345,36001
32,4,0.083197608,36001
32,5,0.087758517,36001
32,6,0.091047566,36001
32,7,0.089646057,36001
32,8,0.089550703,36001
32,9,0.089321775,36001
32,10,0.088323264,36001
32,11,0.082299788,36001
32,12,0.07926321,36001
41,1,0.069530687,36001
41,2,0.070031259,36001
41,3,0.079807974,36001
41,4,0.083147694,36001
41,5,0.087759424,36001
41,6,0.091109023,36001
41,7,0.089790397,36001
41,8,0.08969309,36001
41,9,0.08937344,36001
41,10,0.088321258,36001
41,11,0.082252781,36001
41,12,0.079182973,36001
42,1,0.069530687,36001
42,2,0.070031259,36001
42,3,0.079807974,36001
42,4,0.083147694,36001
42,5,0.087759424,36001
42,6,0.091109023,36001
42,7,0.089790397,36001
42,8,0.08969309,36001
42,9,0.08937344,36001
42,10,0.088321258,36001
42,11,0.082252781,36001
42,12,0.079182973,36001
43,1,0.069530687,36001
43,2,0.070031259,36001
43,3,0.079807974,36001
43,4,0.083147694,36001
43,5,0.087759424,36001
43,6,0.091109023,36001
43,7,0.089790397,36001
43,8,0.08969309,36001
43,9,0.08937344,36001
43,10,0.088321258,36001
43,11,0.082252781,36001
43,12,0.079182973,36001
51,1,0.06926663,36001
51,2,0.069806132,36001
51,3,0.079560856,36001
51,4,0.082981842,36001
51,5,0.087762441,36001
51,6,0.091313229,36001
51,7,0.090270006,36001
51,8,0.09016621,36001
51,9,0.089545111,36001
51,10,0.088314591,36001
51,11,0.082096589,36001
51,12,0.078916363,36001
52,1,0.06926663,36001
52,2,0.069806132,36001
52,3,0.079560856,36001
52,4,0.082981842,36001
52,5,0.087762441,36001
52,6,0.091313229,36001
52,7,0.090270006,36001
52,8,0.09016621,36001
52,9,0.089545111,36001
52,10,0.088314591,36001
52,11,0.082096589,36001
52,12,0.078916363,36001
53,1,0.06926663,36001
53,2,0.069806132,36001
53,3,0.079560856,36001
53,4,0.082981842,36001
53,5,0.087762441,36001
53,6,0.091313229,36001
53,7,0.090270006,36001
53,8,0.09016621,36001
53,9,0.089545111,36001
53,10,0.088314591,36001
53,11,0.082096589,36001
53,12,0.078916363,36001
54,1,0.06926663,36001
54,2,0.069806132,36001
54,3,0.079560856,36001
54,4,0.082981842,36001
54,5,0.087762441,36001
54,6,0.091313229,36001
54,7,0.090270006,36001
54,8,0.09016621,36001
54,9,0.089545111,36001
54,10,0.088314591,36001
54,11,0.082096589,36001
54,12,0.078916363,36001
61,1,0.069516079,36001
61,2,0.070018805,36001
61,3,0.079794303,36001
61,4,0.083138519,36001
61,5,0.087759591,36001
61,6,0.09112032,36001
61,7,0.08981693,36001
61,8,0.089719264,36001
61,9,0.089382937,36001
61,10,0.088320889,36001
61,11,0.08224414,36001
61,12,0.079168224,36001
62,1,0.069516079,36001
62,2,0.070018805,36001
62,3,0.079794303,36001
62,4,0.083138519,36001
62,5,0.087759591,36001
62,6,0.09112032,36001
62,7,0.08981693,36001
62,8,0.089719264,36001
62,9,0.089382937,36001
62,10,0.088320889,36001
62,11,0.08224414,36001
62,12,0.079168224,36001
11,1,0,36003
11,2,0,36003
11,3,0.09327138,36003
11,4,0.099683327,36003
11,5,0.110088843,36003
11,6,0.119797452,36003
11,7,0.125686904,36003
11,8,0.125387212,36003
11,9,0.116730876,36003
11,10,0.110527906,36003
11,11,0.0988261,36003
11,12,0,36003
21,1,0.063821375,36003
21,2,0.065163661,36003
21,3,0.074464899,36003
21,4,0.079561729,36003
21,5,0.087824647,36003
21,6,0.095524272,36003
21,7,0.100160278,36003
21,8,0.099922664,36003
21,9,0.093085228,36003
21,10,0.088177111,36003
21,11,0.078875671,36003
21,12,0.073418465,36003
31,1,0.063821375,36003
31,2,0.065163661,36003
31,3,0.074464899,36003
31,4,0.079561729,36003
31,5,0.087824647,36003
31,6,0.095524272,36003
31,7,0.100160278,36003
31,8,0.099922664,36003
31,9,0.093085228,36003
31,10,0.088177111,36003
31,11,0.078875671,36003
31,12,0.073418465,36003
32,1,0.063821375,36003
32,2,0.065163661,36003
32,3,0.074464899,36003
32,4,0.079561729,36003
32,5,0.087824647,36003
32,6,0.095524272,36003
32,7,0.100160278,36003
32,8,0.099922664,36003
32,9,0.093085228,36003
32,10,0.088177111,36003
32,11,0.078875671,36003
32,12,0.073418465,36003
41,1,0.063676797,36003
41,2,0.065040397,36003
41,3,0.074329595,36003
41,4,0.079470921,36003
41,5,0.087826299,36003
41,6,0.09563608,36003
41,7,0.100422877,36003
41,8,0.10018171,36003
41,9,0.093179223,36003
41,10,0.088173461,36003
41,11,0.078790152,36003
41,12,0.073272489,36003
42,1,0.063676797,36003
42,2,0.065040397,36003
42,3,0.074329595,36003
42,4,0.079470921,36003
42,5,0.087826299,36003
42,6,0.09563608,36003
42,7,0.100422877,36003
42,8,0.10018171,36003
42,9,0.093179223,36003
42,10,0.088173461,36003
42,11,0.078790152,36003
42,12,0.073272489,36003
43,1,0.063676797,36003
43,2,0.065040397,36003
43,3,0.074329595,36003
43,4,0.079470921,36003
43,5,0.087826299,36003
43,6,0.09563608,36003
43,7,0.100422877,36003
43,8,0.10018171,36003
43,9,0.093179223,36003
43,10,0.088173461,36003
43,11,0.078790152,36003
43,12,0.073272489,36003
51,1,0.063635819,36003
51,2,0.06500546,36003
51,3,0.074291245,36003
51,4,0.079445182,36003
51,5,0.087826767,36003
51,6,0.09566777,36003
51,7,0.100497307,36003
51,8,0.100255133,36003
51,9,0.093205864,36003
51,10,0.088172426,36003
51,11,0.078765913,36003
51,12,0.073231114,36003
52,1,0.063635819,36003
52,2,0.06500546,36003
52,3,0.074291245,36003
