countyID,fuelYearID,modelYearGroupID,sourceBinFuelTypeID,fuelSupplyFuelTypeID,usageFraction,FIP
36001,2022,0,1,1,1,36001
36001,2022,0,2,2,1,36001
36001,2022,0,3,3,1,36001
36001,2022,0,5,1,0.982134,36001
36001,2022,0,5,5,0.017866,36001
36001,2022,0,9,9,1,36001
36003,2022,0,1,1,1,36003
36003,2022,0,2,2,1,36003
36003,2022,0,3,3,1,36003
36003,2022,0,5,1,0.982134,36003
36003,2022,0,5,5,0.017866,36003
36003,2022,0,9,9,1,36003
36005,2022,0,1,1,1,36005
36005,2022,0,2,2,1,36005
36005,2022,0,3,3,1,36005
36005,2022,0,5,1,0.982134,36005
36005,2022,0,5,5,0.017866,36005
36005,2022,0,9,9,1,36005
36007,2022,0,1,1,1,36007
36007,2022,0,2,2,1,36007
36007,2022,0,3,3,1,36007
36007,2022,0,5,1,0.982134,36007
36007,2022,0,5,5,0.017866,36007
36007,2022,0,9,9,1,36007
36009,2022,0,1,1,1,36009
36009,2022,0,2,2,1,36009
36009,2022,0,3,3,1,36009
36009,2022,0,5,1,0.982134,36009
36009,2022,0,5,5,0.017866,36009
36009,2022,0,9,9,1,36009
36011,2022,0,1,1,1,36011
36011,2022,0,2,2,1,36011
36011,2022,0,3,3,1,36011
36011,2022,0,5,1,0.982134,36011
36011,2022,0,5,5,0.017866,36011
36011,2022,0,9,9,1,36011
36013,2022,0,1,1,1,36013
36013,2022,0,2,2,1,36013
36013,2022,0,3,3,1,36013
36013,2022,0,5,1,0.982134,36013
36013,2022,0,5,5,0.017866,36013
36013,2022,0,9,9,1,36013
36015,2022,0,1,1,1,36015
36015,2022,0,2,2,1,36015
36015,2022,0,3,3,1,36015
36015,2022,0,5,1,0.982134,36015
36015,2022,0,5,5,0.017866,36015
36015,2022,0,9,9,1,36015
36017,2022,0,1,1,1,36017
36017,2022,0,2,2,1,36017
36017,2022,0,3,3,1,36017
36017,2022,0,5,1,0.982134,36017
36017,2022,0,5,5,0.017866,36017
36017,2022,0,9,9,1,36017
36019,2022,0,1,1,1,36019
36019,2022,0,2,2,1,36019
36019,2022,0,3,3,1,36019
36019,2022,0,5,1,0.982134,36019
36019,2022,0,5,5,0.017866,36019
36019,2022,0,9,9,1,36019
36021,2022,0,1,1,1,36021
36021,2022,0,2,2,1,36021
36021,2022,0,3,3,1,36021
36021,2022,0,5,1,0.982134,36021
36021,2022,0,5,5,0.017866,36021
36021,2022,0,9,9,1,36021
36023,2022,0,1,1,1,36023
36023,2022,0,2,2,1,36023
36023,2022,0,3,3,1,36023
36023,2022,0,5,1,0.982134,36023
36023,2022,0,5,5,0.017866,36023
36023,2022,0,9,9,1,36023
36025,2022,0,1,1,1,36025
36025,2022,0,2,2,1,36025
36025,2022,0,3,3,1,36025
36025,2022,0,5,1,0.982134,36025
36025,2022,0,5,5,0.017866,36025
36025,2022,0,9,9,1,36025
36027,2022,0,1,1,1,36027
36027,2022,0,2,2,1,36027
36027,2022,0,3,3,1,36027
36027,2022,0,5,1,0.982134,36027
36027,2022,0,5,5,0.017866,36027
36027,2022,0,9,9,1,36027
36029,2022,0,1,1,1,36029
36029,2022,0,2,2,1,36029
36029,2022,0,3,3,1,36029
36029,2022,0,5,1,0.982134,36029
36029,2022,0,5,5,0.017866,36029
36029,2022,0,9,9,1,36029
36031,2022,0,1,1,1,36031
36031,2022,0,2,2,1,36031
36031,2022,0,3,3,1,36031
36031,2022,0,5,1,0.982134,36031
36031,2022,0,5,5,0.017866,36031
36031,2022,0,9,9,1,36031
36033,2022,0,1,1,1,36033
36033,2022,0,2,2,1,36033
36033,2022,0,3,3,1,36033
36033,2022,0,5,1,0.982134,36033
36033,2022,0,5,5,0.017866,36033
36033,2022,0,9,9,1,36033
36035,2022,0,1,1,1,36035
36035,2022,0,2,2,1,36035
36035,2022,0,3,3,1,36035
36035,2022,0,5,1,0.982134,36035
36035,2022,0,5,5,0.017866,36035
36035,2022,0,9,9,1,36035
36037,2022,0,1,1,1,36037
36037,2022,0,2,2,1,36037
36037,2022,0,3,3,1,36037
36037,2022,0,5,1,0.982134,36037
36037,2022,0,5,5,0.017866,36037
36037,2022,0,9,9,1,36037
36039,2022,0,1,1,1,36039
36039,2022,0,2,2,1,36039
36039,2022,0,3,3,1,36039
36039,2022,0,5,1,0.982134,36039
36039,2022,0,5,5,0.017866,36039
36039,2022,0,9,9,1,36039
36041,2022,0,1,1,1,36041
36041,2022,0,2,2,1,36041
36041,2022,0,3,3,1,36041
36041,2022,0,5,1,0.982134,36041
36041,2022,0,5,5,0.017866,36041
36041,2022,0,9,9,1,36041
36043,2022,0,1,1,1,36043
36043,2022,0,2,2,1,36043
36043,2022,0,3,3,1,36043
36043,2022,0,5,1,0.982134,36043
36043,2022,0,5,5,0.017866,36043
36043,2022,0,9,9,1,36043
36045,2022,0,1,1,1,36045
36045,2022,0,2,2,1,36045
36045,2022,0,3,3,1,36045
36045,2022,0,5,1,0.982134,36045
36045,2022,0,5,5,0.017866,36045
36045,2022,0,9,9,1,36045
36047,2022,0,1,1,1,36047
36047,2022,0,2,2,1,36047
36047,2022,0,3,3,1,36047
36047,2022,0,5,1,0.982134,36047
36047,2022,0,5,5,0.017866,36047
36047,2022,0,9,9,1,36047
36049,2022,0,1,1,1,36049
36049,2022,0,2,2,1,36049
36049,2022,0,3,3,1,36049
36049,2022,0,5,1,0.982134,36049
36049,2022,0,5,5,0.017866,36049
36049,2022,0,9,9,1,36049
36051,2022,0,1,1,1,36051
36051,2022,0,2,2,1,36051
36051,2022,0,3,3,1,36051
36051,2022,0,5,1,0.982134,36051
36051,2022,0,5,5,0.017866,36051
36051,2022,0,9,9,1,36051
36053,2022,0,1,1,1,36053
36053,2022,0,2,2,1,36053
36053,2022,0,3,3,1,36053
36053,2022,0,5,1,0.982134,36053
36053,2022,0,5,5,0.017866,36053
36053,2022,0,9,9,1,36053
36055,2022,0,1,1,1,36055
36055,2022,0,2,2,1,36055
36055,2022,0,3,3,1,36055
36055,2022,0,5,1,0.982134,36055
36055,2022,0,5,5,0.017866,36055
36055,2022,0,9,9,1,36055
36057,2022,0,1,1,1,36057
36057,2022,0,2,2,1,36057
36057,2022,0,3,3,1,36057
36057,2022,0,5,1,0.982134,36057
36057,2022,0,5,5,0.017866,36057
36057,2022,0,9,9,1,36057
