OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
3656,36,119,002204,1017,361190022041017,Block 1017,G5040, , , ,S,56097,0,+40.9302964,-073.8396488
3657,36,119,004600,2006,361190046002006,Block 2006,G5040, , , ,S,18541,0,+40.9391718,-073.8338809
3658,36,119,011800,2025,361190118002025,Block 2025,G5040, , , ,S,1931,0,+41.1483746,-073.8237066
3659,36,119,014909,2004,361190149092004,Block 2004,G5040, , , ,S,5114,0,+41.3283650,-073.6901895
3660,36,119,004700,2018,361190047002018,Block 2018,G5040, , , ,S,5810,0,+40.9437433,-073.8302584
3661,36,119,005001,2029,361190050012029,Block 2029,G5040, , , ,S,14713,0,+40.9774643,-073.8033753
3662,36,119,006802,3015,361190068023015,Block 3015,G5040, , , ,S,82516,0,+40.9556670,-073.7981058
3663,36,119,012303,3029,361190123033029,Block 3029,G5040, , , ,S,3277,0,+41.0997157,-073.7271502
3664,36,119,008000,2021,361190080002021,Block 2021,G5040, , , ,S,0,32033,+41.0001203,-073.6602210
3665,36,119,007300,3011,361190073003011,Block 3011,G5040, , , ,S,1854,0,+40.9640604,-073.7355919
3666,36,119,001505,1003,361190015051003,Block 1003,G5040, , , ,S,13974,0,+40.9101573,-073.8536310
3667,36,119,012501,2013,361190125012013,Block 2013,G5040, , , ,S,182163,0,+41.2795182,-073.6807922
3668,36,119,012700,3012,361190127003012,Block 3012,G5040, , , ,S,9093,0,+41.2027642,-073.6434752
3669,36,119,014812,1011,361190148121011,Block 1011,G5040, , , ,S,4702,0,+41.3320722,-073.8193556
3670,36,119,000401,2007,361190004012007,Block 2007,G5040, , , ,S,8093,0,+40.9362284,-073.9013757
3671,36,119,012600,3028,361190126003028,Block 3028,G5040, , , ,S,2029,0,+41.2587450,-073.6861905
3672,36,119,001301,2008,361190013012008,Block 2008,G5040, , , ,S,3495,0,+40.9225804,-073.8855071
3673,36,119,002106,2004,361190021062004,Block 2004,G5040, , , ,S,4868,0,+40.9749163,-073.8332722
3674,36,119,014200,2010,361190142002010,Block 2010,G5040, , , ,S,10495,0,+41.2893538,-073.9288107
3675,36,119,015000,3047,361190150003047,Block 3047,G5040, , , ,S,16666,0,+41.3135659,-073.5823161
3676,36,119,002203,1003,361190022031003,Block 1003,G5040, , , ,S,6437,0,+40.9479355,-073.8510542
3677,36,119,007100,5002,361190071005002,Block 5002,G5040, , , ,S,2697,0,+40.9335583,-073.7591120
3678,36,119,011200,4002,361190112004002,Block 4002,G5040, , , ,S,54625,0,+41.0596875,-073.8197243
