yearID,sourcetypeID,VMT,FIP
2021,62,7365949,36035
2021,11,2957817,36037
2021,21,203065968,36037
2021,31,584013653,36037
2021,32,38140285,36037
2021,41,1399601,36037
2021,42,61653,36037
2021,43,6498645,36037
2021,51,2101275,36037
2021,52,29565701,36037
2021,53,2130944,36037
2021,54,1661457,36037
2021,61,15486609,36037
2021,62,49872635,36037
2021,11,3799592,36039
2021,21,167971533,36039
2021,31,406228208,36039
2021,32,21771564,36039
2021,41,1149076,36039
2021,42,45843,36039
2021,43,2861340,36039
2021,51,1248299,36039
2021,52,24587805,36039
2021,53,1685507,36039
2021,54,1155710,36039
2021,61,13232450,36039
2021,62,43743433,36039
2021,11,890251,36041
2021,21,16315769,36041
2021,31,66185454,36041
2021,32,5731522,36041
2021,41,380809,36041
2021,42,66505,36041
2021,43,400679,36041
2021,51,291411,36041
2021,52,4154437,36041
2021,53,285144,36041
2021,54,235504,36041
2021,61,677068,36041
2021,62,2199128,36041
2021,11,3516219,36043
2021,21,148767077,36043
2021,31,370543787,36043
2021,32,15995678,36043
2021,41,569939,36043
2021,42,55297,36043
2021,43,3446416,36043
2021,51,1066209,36043
2021,52,20951784,36043
2021,53,1440437,36043
2021,54,1100358,36043
2021,61,11332506,36043
2021,62,33670432,36043
2021,11,7046833,36045
2021,21,230981381,36045
2021,31,696669959,36045
2021,32,38417443,36045
2021,41,598996,36045
2021,42,262385,36045
2021,43,5849253,36045
2021,51,4014043,36045
2021,52,42215333,36045
2021,53,2491270,36045
2021,54,3007483,36045
2021,61,13851726,36045
2021,62,47769795,36045
2021,11,19928902,36047
2021,21,1264161733,36047
2021,31,2365600232,36047
2021,32,187902134,36047
2021,41,6119011,36047
2021,42,16659929,36047
2021,43,65169049,36047
2021,51,6985701,36047
2021,52,136029455,36047
2021,53,11251440,36047
2021,54,1036220,36047
2021,61,15106619,36047
2021,62,45654297,36047
2021,11,2624204,36049
2021,21,53774184,36049
2021,31,202889487,36049
2021,32,7665540,36049
2021,41,67093,36049
2021,42,134352,36049
2021,43,2124554,36049
2021,51,870670,36049
2021,52,13870393,36049
2021,53,813851,36049
2021,54,667437,36049
2021,61,2853486,36049
2021,62,9850047,36049
2021,11,2423675,36051
2021,21,157225220,36051
2021,31,428625709,36051
2021,32,26309599,36051
2021,41,1878945,36051
2021,42,47919,36051
2021,43,4047912,36051
2021,51,1440795,36051
2021,52,23056784,36051
2021,53,1657727,36051
2021,54,1509012,36051
2021,61,10181162,36051
2021,62,32852403,36051
2021,11,4830470,36053
2021,21,164442298,36053
2021,31,460657913,36053
2021,32,26767145,36053
2021,41,913132,36053
2021,42,75939,36053
2021,43,4275382,36053
2021,51,1792113,36053
2021,52,26145941,36053
2021,53,1776647,36053
2021,54,1823246,36053
2021,61,10834547,36053
2021,62,35496797,36053
2021,11,15185852,36055
2021,21,1830296943,36055
2021,31,3316087939,36055
2021,32,236864350,36055
2021,41,3864536,36055
2021,42,11512048,36055
2021,43,26090308,36055
2021,51,5909903,36055
2021,52,115159460,36055
2021,53,8380941,36055
2021,54,6743612,36055
2021,61,24607990,36055
2021,62,77948353,36055
2021,11,3354050,36057
2021,21,171447945,36057
2021,31,385815169,36057
2021,32,20594651,36057
2021,41,1058422,36057
2021,42,99024,36057
2021,43,2880123,36057
2021,51,1511908,36057
2021,52,21368853,36057
2021,53,1447234,36057
2021,54,1240513,36057
2021,61,14071547,36057
2021,62,44505817,36057
2021,11,14061551,36059
2021,21,2791063483,36059
2021,31,5059395493,36059
2021,32,339176677,36059
2021,41,5235013,36059
2021,42,17350029,36059
2021,43,37352188,36059
2021,51,11604232,36059
2021,52,214127279,36059
2021,53,14476385,36059
2021,54,3084101,36059
2021,61,23270731,36059
2021,62,75361105,36059
2021,11,11624515,36061
2021,21,789413315,36061
2021,31,1465144574,36061
2021,32,215921178,36061
2021,41,5490073,36061
2021,42,47405096,36061
2021,43,858866,36061
2021,51,5163980,36061
2021,52,84585370,36061
2021,53,6955215,36061
2021,54,1184731,36061
2021,61,10515464,36061
2021,62,31878281,36061
2021,11,5765248,36063
2021,21,351278099,36063
2021,31,867739120,36063
2021,32,37339337,36063
2021,41,2265898,36063
2021,42,109934,36063
2021,43,7489776,36063
2021,51,1026283,36063
2021,52,33967799,36063
2021,53,2243613,36063
2021,54,3268570,36063
2021,61,5699693,36063
2021,62,20258599,36063
2021,11,10772821,36065
2021,21,513442144,36065
2021,31,1117436867,36065
2021,32,64415958,36065
2021,41,2179881,36065
2021,42,51446,36065
2021,43,10976465,36065
2021,51,4019196,36065
2021,52,62493830,36065
2021,53,4270276,36065
2021,54,3048299,36065
2021,61,24356207,36065
2021,62,77389552,36065
2021,11,11281042,36067
2021,21,1042696836,36067
2021,31,2328908373,36067
2021,32,194042065,36067
2021,41,1742647,36067
2021,42,8583779,36067
2021,43,14781183,36067
2021,51,3371562,36067
2021,52,101247651,36067
2021,53,7668095,36067
2021,54,3346060,36067
2021,61,34270686,36067
2021,62,114072493,36067
2021,11,4427499,36069
2021,21,348845155,36069
2021,31,871377792,36069
2021,32,61646993,36069
2021,41,2627802,36069
2021,42,62113,36069
2021,43,8497324,36069
2021,51,2311552,36069
2021,52,38045013,36069
2021,53,2723626,36069
2021,54,2360955,36069
2021,61,12789992,36069
2021,62,41135353,36069
2021,11,10707966,36071
2021,21,1251068168,36071
2021,31,2307265250,36071
2021,32,169618009,36071
2021,41,9410332,36071
2021,42,1104442,36071
2021,43,19223743,36071
2021,51,6370700,36071
2021,52,117685490,36071
2021,53,8034343,36071
2021,54,4196246,36071
2021,61,48239226,36071
2021,62,158066257,36071
2021,11,1114696,36073
2021,21,60582034,36073
2021,31,170782922,36073
2021,32,8213273,36073
2021,41,515753,36073
2021,42,27768,36073
2021,43,1764455,36073
2021,51,372421,36073
2021,52,9352701,36073
2021,53,672955,36073
2021,54,738738,36073
2021,61,2117941,36073
2021,62,6909710,36073
2021,11,3551690,36075
2021,21,227420695,36075
2021,31,690963688,36075
2021,32,27508740,36075
2021,41,1036909,36075
2021,42,66124,36075
2021,43,6514848,36075
2021,51,1550332,36075
2021,52,32787224,36075
2021,53,2503882,36075
2021,54,2892953,36075
2021,61,12514374,36075
2021,62,42621263,36075
2021,11,2256072,36077
2021,21,128464602,36077
2021,31,342828878,36077
2021,32,24074712,36077
2021,41,320439,36077
2021,42,918465,36077
2021,43,3545966,36077
2021,51,1100358,36077
2021,52,21428486,36077
2021,53,1404552,36077
2021,54,1465761,36077
2021,61,8352245,36077
2021,62,29262577,36077
2021,11,2973546,36079
2021,21,326505218,36079
2021,31,641095833,36079
2021,32,42026280,36079
2021,41,98934,36079
2021,42,1282527,36079
2021,43,6684021,36079
2021,51,1594804,36079
2021,52,33026119,36079
2021,53,2268704,36079
2021,54,945761,36079
2021,61,13598226,36079
2021,62,43696669,36079
2021,11,26556529,36081
2021,21,2214187527,36081
2021,31,3732555338,36081
2021,32,414702642,36081
2021,41,41335318,36081
2021,42,14948834,36081
2021,43,73706104,36081
2021,51,8346581,36081
2021,52,215439403,36081
2021,53,20269340,36081
2021,54,1076795,36081
2021,61,29412064,36081
2021,62,87912734,36081
2021,11,7080679,36083
2021,21,362703953,36083
